customer_id,amount,submitted_at
1,142,2022-07-01 22:09:52
2,671,2022-11-22 21:30:19
3,584,2022-07-21 01:45:35
4,700,2022-09-27 17:02:17
5,318,2022-06-07 11:35:12
6,517,2023-04-28 13:34:21
7,245,2022-11-15 18:53:53
8,462,2022-10-04 18:55:11
9,698,2022-08-08 07:41:25
10,135,2022-08-29 09:44:04
11,989,2022-09-24 10:20:36
12,518,2022-06-08 08:38:00
13,965,2023-04-22 05:59:09
14,754,2022-08-24 08:09:25
15,844,2023-02-22 13:12:42
16,302,2022-09-22 15:59:23
17,587,2022-09-18 18:02:13
18,416,2022-06-18 06:15:47
19,289,2023-04-27 13:17:54
20,936,2023-04-09 18:48:17
21,517,2022-12-13 12:35:18
22,207,2023-02-26 19:35:25
23,485,2023-04-13 07:09:04
24,179,2022-07-17 06:42:21
25,355,2023-02-02 16:58:36
26,682,2023-03-14 09:29:07
27,758,2023-03-30 11:15:07
28,99,2022-07-01 18:37:37
29,500,2022-12-15 09:01:37
30,537,2022-09-01 13:17:52
31,535,2023-03-18 09:16:05
32,400,2023-02-22 23:39:53
33,467,2023-01-18 17:07:48
34,996,2023-04-16 23:40:35
35,842,2023-03-15 00:21:51
36,320,2022-09-30 11:25:17
37,644,2023-02-27 06:03:54
38,893,2022-06-26 07:44:43
39,171,2023-04-10 13:18:18
40,884,2022-07-23 19:53:58
41,819,2023-02-23 21:27:20
42,711,2022-05-25 23:58:30
43,562,2022-11-04 18:54:35
44,491,2022-12-24 18:30:31
45,807,2023-03-03 22:31:16
46,50,2022-10-11 02:24:12
47,866,2023-04-04 02:36:10
48,186,2022-12-17 09:01:24
49,318,2022-10-27 10:45:01
50,606,2022-07-29 04:01:33
51,389,2023-02-15 20:25:15
52,143,2022-07-22 14:47:46
53,495,2023-01-21 13:57:47
54,892,2023-03-22 08:37:48
55,539,2023-02-27 11:41:07
56,441,2022-10-01 04:11:45
57,990,2022-11-09 07:11:43
58,735,2022-12-06 06:19:58
59,623,2022-09-13 15:35:07
60,657,2022-06-22 15:32:06
61,513,2022-05-18 05:26:05
62,191,2022-08-10 12:17:43
63,106,2023-03-19 15:10:53
64,614,2022-06-20 18:27:57
65,795,2023-02-19 00:41:20
66,583,2022-11-26 04:17:23
67,898,2023-04-09 15:26:33
68,649,2023-01-07 01:39:34
69,365,2022-10-13 05:12:07
70,592,2022-07-07 03:13:48
71,511,2023-04-04 10:39:29
72,104,2023-01-08 16:56:25
73,147,2022-12-05 23:30:24
74,398,2022-09-21 00:44:16
75,385,2022-07-21 12:12:00
76,438,2022-06-25 17:27:41
77,433,2022-11-17 02:19:22
78,599,2022-09-21 02:22:06
79,802,2022-12-06 06:23:16
80,585,2023-03-24 06:02:32
81,184,2023-05-04 05:45:07
82,786,2023-04-18 10:04:37
83,520,2022-11-02 17:41:50
84,412,2023-03-08 02:01:42
85,963,2023-04-06 12:01:57
86,700,2023-02-16 05:41:36
87,295,2022-12-28 14:36:15
88,226,2022-08-16 08:43:07
89,487,2023-04-05 05:10:30
90,658,2022-10-01 08:32:33
91,569,2022-12-07 13:34:42
92,805,2022-07-27 16:55:44
93,960,2022-07-11 22:42:54
94,972,2022-06-23 21:31:28
95,429,2022-10-04 22:34:42
96,625,2022-11-29 00:54:16
97,360,2023-04-17 21:10:02
98,325,2023-01-10 04:18:50
99,984,2022-12-14 00:02:48
100,725,2023-04-14 21:06:44
101,145,2023-02-21 19:07:30
102,286,2023-03-11 18:36:20
